Year ,site,crops_practices,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,sd,organic,0,1081.64,1081.64,865.31,0,0,0,0,0,0,0,0,0.0138,0.0074,0.0022,0.0006,0.0002,15842.18,8558.94,2502.64,735.44,265.3,27021.44,27904.49,883.05,-3219.53886,-3232.032342,0,12.49348178,930.34,24.84,312.3,87.58,471.94,0.06,0,0,2677.82,1.21,2699.44,7.7,28.11,0,0,14.67,29.14,22.94,31.26,0.04,0,0,0.03,0.01,0.06,4.78,3.08,1288.66,52.47,518.44,0,0,0,539.8,20.87,14.35,2,1,0.19,0.47,0,0,279.8,279.8,694.5,0
2,sd,organic,0,1098.25,1098.25,878.6,0,0,0,0,0,0,0,0,0.0141,0.0074,0.0022,0.0006,0.0002,16260.93,8521.39,2490.39,732.57,268.73,27904.49,28274.02,369.52,-1256.688857,-1352.472217,0,95.78336033,819.66,72.52,691.56,229.54,1443.6,0.11,0,0,2699.44,7.7,2728.96,8.86,30.68,0,0,32.47,31.65,21.23,36.03,0.17,0,0,0.23,0.01,0.35,10.74,3.45,1288.58,60.22,442.23,0,0,0,539.8,0.09,14.35,2,1,0.18,0.49,0,0,222.68,222.68,1118.16,0
3,sd,organic,0,1052.55,1052.55,842.04,0,0,0,0,0,0,0,0,0.0144,0.0074,0.0022,0.0006,0.0002,16538.89,8482.46,2477.01,728.03,268.47,28274.02,28494.85,220.84,-662.534454,-808.2917415,0,145.7572875,721.32,100.05,657.69,307.85,1565.97,0.11,0,0,2728.96,8.86,2752.85,9.35,24.37,0,0,30.87,32.12,19.68,35.88,0.19,0,0,0.35,0.02,0.51,11.48,3.47,1288.62,59.73,427.38,0,0,0,539.8,0.09,14.35,2,1,0.17,0.49,0,0,205.54,205.54,1333.58,0
4,sd,organic,0,1062.63,1062.63,850.1,0,0,0,0,0,0,0,0,0.0146,0.0073,0.0021,0.0006,0.0002,16814.94,8444.36,2463.98,723.49,267.72,28494.85,28714.5,219.65,-604.0405395,-803.9362481,0,199.8957086,721.82,114.83,647.4,350.69,1615.03,0.12,0,0,2752.85,9.35,2774.45,9.81,22.07,0,0,30.37,33.86,19.65,36.65,0.21,0,0,0.48,0.02,0.71,12.46,3.47,1288.61,60.76,426.14,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,209.33,209.33,1464.83,0
5,sd,organic,0,1074.68,1074.68,859.74,0,0,0,0,0,0,0,0,0.0148,0.0073,0.0021,0.0006,0.0002,17080.94,8406.97,2451.32,719.05,266.65,28714.5,28924.92,210.42,-520.2840876,-770.1537233,0,249.8696357,739.53,123.97,649.68,377.31,1679.94,0.12,0,0,2774.45,9.81,2794.76,10.25,20.75,0,0,30.47,35.43,19.69,37.43,0.23,0,0,0.6,0.02,0.88,13.48,3.46,1288.6,61.8,424.43,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,213.87,213.87,1548.65,0
6,sd,organic,0,1088.42,1088.42,870.73,0,0,0,0,0,0,0,0,0.0151,0.0073,0.0021,0.0006,0.0002,17336.65,8370.28,2439.01,714.73,265.49,28924.92,29126.16,201.24,-432.5461456,-736.5542024,0,304.0080568,759.86,129.95,652.4,394.88,1735.72,0.12,0,0,2794.76,10.25,2813.96,10.68,19.63,0,0,30.59,36.69,19.8,38.18,0.25,0,0,0.73,0.02,1.06,14.42,3.46,1288.59,62.8,423.4,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,219.03,219.03,1606.12,0
7,sd,organic,0,1102.02,1102.02,881.61,0,0,0,0,0,0,0,0,0.0153,0.0072,0.0021,0.0006,0.0002,17582.08,8334.23,2427.02,710.53,264.3,29126.16,29318.16,192,-348.753093,-702.7350769,0,353.9819839,780.47,134.14,655.5,407.29,1785.33,0.13,0,0,2813.96,10.68,2832.17,11.08,18.62,0,0,30.72,37.75,19.9,38.93,0.27,0,0,0.85,0.03,1.23,15.27,3.45,1288.58,63.77,422.26,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,224.15,224.15,1648.26,0
8,sd,organic,0,1116.6,1116.6,893.28,0,0,0,0,0,0,0,0,0.0155,0.0072,0.0021,0.0006,0.0002,17819.09,8298.77,2415.3,706.42,263.1,29318.16,29502.68,184.52,-271.4017784,-675.3576895,0,403.9559111,802.28,137.33,658.58,416.8,1830.32,0.13,0,0,2832.17,11.08,2849.52,11.47,17.74,0,0,30.85,38.72,20.04,39.69,0.29,0,0,0.97,0.03,1.39,16.01,3.44,1288.57,64.75,421.34,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,229.64,229.64,1682.16,0
9,sd,organic,0,1131.99,1131.99,905.59,0,0,0,0,0,0,0,0,0.0157,0.0072,0.0021,0.0006,0.0002,18049.21,8263.9,2403.84,702.42,261.93,29502.68,29681.3,178.62,-203.9978819,-653.7632262,0,449.7653443,825.34,139.98,661.87,424.82,1873.28,0.13,0,0,2849.52,11.47,2866.19,11.84,17.04,0,0,31,39.66,20.21,40.42,0.31,0,0,1.08,0.03,1.56,16.68,3.43,1288.56,65.7,420.76,0,0,0,539.8,0.09,14.35,2,1,0.17,0.5,0,0,235.42,235.42,1711.82,0
10,sd,organic,0,1144.53,1144.53,915.63,0,0,0,0,0,0,0,0,0.0159,0.0072,0.0021,0.0006,0.0002,18269.97,8229.5,2392.59,698.5,260.74,29681.3,29851.3,170,-122.4740779,-622.2133493,0,499.7392714,845.06,142.27,665.35,431.71,1914.23,0.13,0,0,2866.19,11.84,2882.14,12.2,16.31,0,0,31.15,40.47,20.32,41.08,0.33,0,0,1.2,0.03,1.72,17.3,3.42,1288.55,66.51,419.83,0,0,0,539.8,0.09,14.35,2,1,0.17,0.5,0,0,240.14,240.14,1737.16,0
11,sd,organic,0,1156.38,1156.38,925.1,0,0,0,0,0,0,0,0,0.0161,0.0071,0.0021,0.0006,0.0002,18482.64,8195.6,2381.55,694.66,259.55,29851.3,30013.99,162.69,-49.90947063,-595.4581753,0,545.5487047,863.18,144.26,668.19,437.71,1950.5,0.14,0,0,2882.14,12.2,2897.41,12.55,15.62,0,0,31.27,41.19,20.42,41.71,0.35,0,0,1.31,0.03,1.87,17.84,3.41,1288.54,67.26,418.93,0,0,0,539.8,0.09,14.35,2,1,0.17,0.5,0,0,244.59,244.59,1759.55,0
