Year ,Crop,Practice,Country,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,Ini_SOC,End_SOC    ,dSOC       ,CO2e,CH4_CO2e,N2O_CO2e,GWP
3,Cotton,Regenerative,India,140377.44,134339.95,107544.79,58085.82,40784.88,480384.72,481132.88,748.16,-2743.253333,-86.98666667,17406.71429,14576.47429
4,Cotton,Regenerative,India,142190.92,133865.77,106958.59,57782.98,40580.53,481132.88,481378.78,245.91,-901.67,-74.29333333,18468.60714,17492.64381
5,Cotton,Regenerative,India,143984.34,133388.73,106392.61,57490.62,40382.94,481378.78,481639.25,260.47,-955.0566667,-61.6,19338.94286,18322.28619
6,Cotton,Regenerative,India,144913.55,132783.81,105836.97,57201.93,40187.88,481639.19,480924.13,-715.06,2621.886667,-48.90666667,22087.37143,24660.35143
7,Cotton,Regenerative,India,147323.3,132322.25,105303.18,56925.47,40000.77,480924.16,481874.97,950.81,-3486.303333,-37.70666667,14266.84286,10742.83286
8,Cotton,Regenerative,India,149154.8,131855.11,104781.54,56655.86,39818.54,481874.97,482265.84,390.88,-1433.226667,-36.21333333,15461.99286,13992.55286
9,Cotton,Regenerative,India,150876.41,131389.03,104270.63,56391.79,39640.11,482265.84,482567.97,302.13,-1107.81,-36.21333333,15815.95714,14671.93381
10,Cotton,Regenerative,India,152511.48,130919.38,103769.57,56132.14,39464.89,482567.91,482797.47,229.56,-841.72,-36.21333333,16244.87857,15366.94524
11,Cotton,Regenerative,India,153218.45,130315.45,103275.7,55875.91,39291.95,482797.41,481977.47,-819.94,3006.446667,-36.21333333,20988,23958.23333
12,Cotton,Regenerative,India,155423.91,129867.38,102791.41,55624.77,39122.32,481977.5,482829.78,852.28,-3125.026667,-36.21333333,16053.32143,12892.08143
13,Cotton,Regenerative,India,156980.19,129408.3,102314.27,55377.59,38955.32,482829.75,483035.66,205.91,-755.0033333,-36.21333333,17310.93571,16519.71905
14,Cotton,Regenerative,India,158443.7,128951.95,101843.76,55133.95,38790.58,483035.69,483163.94,128.25,-470.25,-36.21333333,17614.92857,17108.46524
15,Cotton,Regenerative,India,159819.44,128491.03,101378.98,54893.01,38627.85,483163.91,483210.31,46.41,-170.17,-36.21333333,18002.20714,17795.82381
16,Cotton,Regenerative,India,159721.09,127913.02,100922.04,54655.82,38467.21,483210.38,481679.19,-1531.19,5614.363333,-36.21333333,19451.37857,25029.52857
17,Cotton,Regenerative,India,159767.69,127344.75,100470.36,54421.55,38308.24,481679.16,480312.59,-1366.56,5010.72,-36.21333333,24206.99286,29181.49952
18,Cotton,Regenerative,India,161521.64,126929.64,100024.3,54189.94,38151.14,480312.56,480816.66,504.09,-1848.33,-36.21333333,19239,17354.45667
19,Cotton,Regenerative,India,162742.06,126511.63,99583.68,53960.7,37995.79,480816.66,480793.88,-22.78,83.52666667,-36.21333333,17956.4,18003.71333
20,Cotton,Regenerative,India,163861.55,126084.98,99146.81,53734.18,37841.83,480793.88,480669.34,-124.53,456.61,-36.21333333,19284.80714,19705.20381
3,Cotton,Monocrop,India,133675.39,133520.03,107453.61,58046.17,40755.3,475257.25,473450.5,-1806.75,6624.75,-110.1333333,30894.83571,37409.45238
4,Cotton,Monocrop,India,133195.34,132823.69,106859.91,57737.63,40545.85,473450.56,471162.41,-2288.16,8389.92,-109.76,28612.80714,36892.96714
5,Cotton,Monocrop,India,132645.11,132143.95,106290.41,57441.83,40344.68,471162.38,468865.97,-2296.41,8420.17,-110.1333333,28383.77143,36693.8081
6,Cotton,Monocrop,India,131253.56,131368.88,105738.95,57155.74,40150.21,468865.97,465667.34,-3198.63,11728.31,-110.1333333,47568.63571,59186.81238
7,Cotton,Monocrop,India,131347.33,130744.51,105203.91,56877.27,39961.21,465667.34,464134.22,-1533.13,5621.476667,-110.5066667,29520.62143,35031.59143
8,Cotton,Monocrop,India,130900.65,130125.03,104681.57,56605.79,39776.62,464134.22,462089.66,-2044.56,7496.72,-110.5066667,28600.31429,35986.52762
9,Cotton,Monocrop,India,130400.44,129513.17,104169.73,56340.11,39596.02,462089.66,460019.47,-2070.19,7590.696667,-110.5066667,27896.55,35376.74
10,Cotton,Monocrop,India,129898.79,128909.13,103667.73,56078.84,39418.77,460019.47,457973.25,-2046.22,7502.806667,-110.5066667,27692.5,35084.8
11,Cotton,Monocrop,India,128508.97,128195.58,103174.44,55822.2,39244.45,457973.19,454945.63,-3027.56,11101.05333,-110.5066667,46977.30714,57967.85381
12,Cotton,Monocrop,India,128649.78,127626.7,102688.14,55569.27,39072.64,454945.66,453606.53,-1339.13,4910.143333,-111.2533333,28966.77143,33765.66143
13,Cotton,Monocrop,India,128194.22,127051.46,102208.67,55320.03,38903.33,453606.59,451677.72,-1928.88,7072.56,-110.88,28208.87143,35170.55143
14,Cotton,Monocrop,India,127709.38,126481.55,101735.45,55074.04,38736.23,451677.66,449736.66,-1941,7117,-110.88,27550.91429,34557.03429
15,Cotton,Monocrop,India,127224.72,125915.46,101267.56,54830.98,38571.02,449736.66,447809.75,-1926.91,7065.336667,-111.2533333,27342.7,34296.78333
