Year,Practice,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,Ini_SOC,End_SOC,dSOC,CH4,N20_flux,CO2e,CH4_CO2e,N2O_CO2e,GWP,Grain_Prod
3,Compost,37302.88,36878.66,31016.22,17185.97,12684.71,135059.7,135068.4,8.78,-0.91,0.49,32.19333,-33.9733,204.05,202.27,1035.53
4,Compost,37433.96,36830.9,30979.85,17166.87,12671.29,135068.5,135082.9,14.41,-0.9,0.52,52.83667,-33.6,216.5429,235.7795,1074.22
5,Compost,37570.44,36784.79,30944.52,17148,12657.51,135082.9,135105.3,22.41,-0.9,0.54,82.17,-33.6,224.8714,273.4414,1098.68
6,Compost,37708.84,36740.35,30910.41,17129.71,12644.04,135105.2,135133.4,28.13,-0.89,0.56,103.1433,-33.2267,233.2,303.1167,1118.22
7,Compost,37847.83,36697.52,30877.54,17112.09,12631.05,135133.4,135166,32.67,-0.89,0.58,119.79,-33.2267,241.5286,328.0919,823.72
8,Compost,37985.82,36656.14,30845.76,17095.02,12618.43,135166.1,135201.2,35.11,-0.88,0.59,128.7367,-32.8533,245.6929,341.5762,836.25
9,Compost,38122,36616.04,30814.93,17078.45,12606.16,135201.2,135237.6,36.41,-0.88,0.59,133.5033,-32.8533,245.6929,346.3429,848.61
10,Compost,38256.01,36577.09,30784.97,17062.34,12594.23,135237.6,135274.6,37.06,-0.88,0.6,135.8867,-32.8533,249.8571,352.8905,859.79
11,Compost,38387.71,36539.2,30755.83,17046.66,12582.6,135274.6,135312,37.36,-0.87,0.61,136.9867,-32.48,254.0214,358.5281,869.63
12,Compost,38517.03,36502.25,30727.42,17031.36,12571.26,135312,135349.3,37.34,-0.87,0.61,136.9133,-32.48,254.0214,358.4548,878.38
13,Compost,38644.37,36466.25,30699.71,17016.44,12560.2,135349.3,135387,37.66,-0.86,0.62,138.0867,-32.1067,258.1857,364.1657,724.22
14,Compost,38769.26,36431.07,30672.64,17001.84,12549.38,135387,135424.2,37.22,-0.86,0.63,136.4733,-32.1067,262.35,366.7167,726.69
15,Compost,38891.68,36396.63,30646.13,16987.54,12538.78,135424.2,135460.8,36.58,-0.86,0.63,134.1267,-32.1067,262.35,364.37,729
16,Compost,39011.71,36362.85,30620.13,16973.51,12528.39,135460.8,135496.6,35.86,-0.85,0.64,131.4867,-31.7333,266.5143,366.2676,731.51
17,Compost,39129.54,36329.69,30594.59,16959.73,12518.2,135496.6,135531.7,35.13,-0.85,0.64,128.81,-31.7333,266.5143,363.591,734.06
18,Compost,39245.05,36297.08,30569.45,16946.19,12508.17,135531.8,135565.9,34.17,-0.84,0.64,125.29,-31.36,266.5143,360.4443,736.32
